FOREX — Majors (7)
ID	Base	Vol	Spread	Payout
NZDJPY	~92.00	0.65	0.001	78
CRYPTO (30)
ID	Base	Vol	Spread	Payout
BTCUSD	78500	2.20	3	90
ETHUSD	~3150	2.40	0.05	88
SOLUSD	~165	2.80	0.003	86
BNBUSD	~680	2.40	0.01	84
XRPUSD	~1.20	2.60	0.00002	84
DOGEUSD	~0.16	3.00	0.000002	84
ADAUSD	~0.55	2.80	0.000008	84
AVAXUSD	~22	2.80	0.0003	84
LINKUSD	~15	2.80	0.0002	84
DOTUSD	~4	2.80	0.00006	84
TRXUSD	~0.28	2.60	0.000004	84
LTCUSD	~85	2.60	0.001	84
BCHUSD	~480	2.60	0.007	84
XLMUSD	~0.30	2.80	0.000005	84
ATOMUSD	~5	3.00	0.00008	82
NEARUSD	~3	3.00	0.00005	82
ARBUSD	~0.50	3.00	0.000008	82
OPUSD	~0.80	3.00	0.00001	82
INJUSD	~12	3.00	0.0002	82
SUIUSD	~2.50	3.00	0.00004	82
APTUSD	~4.50	3.00	0.00007	82
FILUSD	~3.50	3.00	0.00005	82
ETCUSD	~18	2.80	0.0003	82
HBARUSD	~0.18	3.00	0.000003	82
VETUSD	~0.02	3.00	0.000001	82
ALGOUSD	~0.18	3.00	0.000003	82
AAVEUSD	~250	2.80	0.004	82
UNIUSD	~8	2.80	0.0001	82
PEPEUSD	~0.000008	3.50	0.000001	84
SHIBUSD	~0.000012	3.50	0.000001	84
COMMODITIES (7)
ID	Base	Vol	Spread	Payout
XAUUSD	4440	0.90	0.04	85
XAGUSD	~48	1.10	0.0008	82
USOIL	~68	1.30	0.001	82
UKOIL	~72	1.30	0.001	82
XNGUSD	~3.20	1.60	0.00005	82
XCUUSD	~4.60	1.10	0.00007	80
XPTUSD	~1400	1.00	0.02	80
STOCKS (22, levels ~ — confirm at creation)
ID	Base	Vol	Spread	Payout
AAPL	~250	1.20	0.005	82
MSFT	~520	1.10	0.01	80
GOOGL	~240	1.20	0.005	82
AMZN	~230	1.20	0.005	82
TSLA	~330	1.60	0.006	84
NVDA	~190	1.50	0.004	84
META	~620	1.30	0.01	82
NFLX	~1050	1.30	0.02	82
AMD	~150	1.50	0.003	82
INTC	~35	1.30	0.0006	80
BABA	~140	1.40	0.003	82
ORCL	~280	1.10	0.005	80
ADBE	~380	1.20	0.008	80
CRM	~260	1.20	0.005	80
PYPL	~70	1.30	0.001	80
SHOP	~150	1.40	0.003	82
UBER	~95	1.40	0.002	82
COIN	~300	1.80	0.006	84
MSTR	~180	2.00	0.004	84
PLTR	~150	1.60	0.003	84
JPM	~300	1.00	0.005	80
DIS	~120	1.10	0.002	80
